None	ticker	date	adj_open	adj_high	adj_low	adj_close	adj_volume
0	NVDA	1999-01-22	1.6238244376876	1.8124973723522	1.4405642511486	1.5225287227652	67867200.0
1	NVDA	1999-01-25	1.6431556809934	1.7011494109108	1.5225287227652	1.681818167605	12762000.0
2	NVDA	1999-01-26	1.7011494109108	1.735172399129	1.5271682211586	1.5511389628578	8580000.0
3	NVDA	1999-01-27	1.5565517109834	1.595214197595	1.4691744912412	1.5464994644644	6109200.0
4	NVDA	1999-01-28	1.5464994644644	1.5565517109834	1.531807719552	1.541859966071	5688000.0
5	NVDA	1999-01-29	1.541859966071	1.5464994644644	1.4691744912412	1.4691744912412	6100800.0
6	NVDA	1999-02-01	1.4691744912412	1.5078369778528	1.4691744912412	1.498557981066	3867600.0
7	NVDA	1999-02-02	1.4691744912412	1.5078369778528	1.3384952864939	1.3825705212311	6602400.0
8	NVDA	1999-02-03	1.3632392779253	1.4305120046295	1.3531870314063	1.4111807613237	1878000.0
9	NVDA	1999-02-04	1.4305120046295	1.5271682211586	1.4111807613237	1.488505734547	4548000.0
10	NVDA	1999-02-05	1.5124764762462	1.5464994644644	1.4738139896345	1.531807719552	3421200.0
11	NVDA	1999-02-08	1.541859966071	1.5464994644644	1.4792267377602	1.4792267377602	3852000.0
12	NVDA	1999-02-09	1.5078369778528	1.5178892243718	1.401901764537	1.4212330078428	2174400.0
13	NVDA	1999-02-10	1.4212330078428	1.4598954944544	1.3825705212311	1.4065412629303	3705600.0
14	NVDA	1999-02-11	1.4111807613237	1.585161951076	1.4111807613237	1.5271682211586	3306000.0
15	NVDA	1999-02-12	1.5464994644644	1.6238244376876	1.5464994644644	1.6145454409008	2743200.0
16	NVDA	1999-02-16	1.6431556809934	1.7112016574298	1.4598954944544	1.6238244376876	5275200.0
17	NVDA	1999-02-17	1.585161951076	1.6044931943818	1.5078369778528	1.5372204676776	1693200.0
18	NVDA	1999-02-18	1.585161951076	1.6044931943818	1.5178892243718	1.5611912093768	1767600.0
19	NVDA	1999-02-19	1.5464994644644	1.6431556809934	1.5271682211586	1.6145454409008	1884000.0
20	NVDA	1999-02-22	1.6431556809934	1.6624869242992	1.5372204676776	1.6238244376876	5131200.0
21	NVDA	1999-02-23	1.6624869242992	1.735172399129	1.5658307077702	1.7011494109108	3452400.0
22	NVDA	1999-02-24	1.9524555738863	2.0297805471095	1.7931661290464	1.8364681140514	15319200.0
23	NVDA	1999-02-25	1.9137930872747	1.9717868171921	1.7498641440414	1.778474384134	3728400.0
24	NVDA	1999-02-26	1.7978056274398	1.8557993573572	1.681818167605	1.6965099125174	4315200.0
25	NVDA	1999-03-01	1.7398118975224	1.778474384134	1.6238244376876	1.7057889093042	2304000.0
26	NVDA	1999-03-02	1.7011494109108	1.7112016574298	1.6624869242992	1.691870414124	1381200.0
27	NVDA	1999-03-03	1.7011494109108	1.7011494109108	1.5658307077702	1.5758829542892	1534800.0
28	NVDA	1999-03-04	1.6532079275124	1.6624869242992	1.5271682211586	1.541859966071	1434000.0
29	NVDA	1999-03-05	1.5565517109834	1.6338766842066	1.5565517109834	1.628463936081	1969200.0
30	NVDA	1999-03-08	1.585161951076	1.7011494109108	1.5565517109834	1.6532079275124	1897200.0
31	NVDA	1999-03-09	1.6477951793868	1.7305329007356	1.6477951793868	1.7057889093042	3579600.0
32	NVDA	1999-03-10	1.7305329007356	1.7305329007356	1.6532079275124	1.6771786692116	5883600.0
33	NVDA	1999-03-11	1.6477951793868	1.6771786692116	1.6044931943818	1.6044931943818	1357200.0
34	NVDA	1999-03-12	1.6145454409008	1.6145454409008	1.5464994644644	1.5758829542892	2269200.0
35	NVDA	1999-03-15	1.6145454409008	1.6624869242992	1.6044931943818	1.6431556809934	2720400.0
36	NVDA	1999-03-16	1.6532079275124	1.6725391708182	1.5758829542892	1.5898014494694	1978800.0
37	NVDA	1999-03-17	1.6044931943818	1.6338766842066	1.5611912093768	1.5998536959884	1284000.0
38	NVDA	1999-03-18	1.6044931943818	1.6431556809934	1.5658307077702	1.6191849392942	1158000.0
39	NVDA	1999-03-19	1.6145454409008	1.6725391708182	1.6145454409008	1.6238244376876	2632800.0
40	NVDA	1999-03-22	1.6578474259058	1.6624869242992	1.5758829542892	1.5758829542892	916800.0
41	NVDA	1999-03-23	1.585161951076	1.585161951076	1.4498432479353	1.4792267377602	4099200.0
42	NVDA	1999-03-24	1.4691744912412	1.4792267377602	1.4111807613237	1.4691744912412	1521600.0
43	NVDA	1999-03-25	1.4645349928478	1.5464994644644	1.4598954944544	1.488505734547	1008000.0
44	NVDA	1999-03-26	1.5078369778528	1.6238244376876	1.5078369778528	1.6191849392942	2206800.0
45	NVDA	1999-03-29	1.6671264226926	1.7057889093042	1.6385161826	1.6671264226926	1648800.0
46	NVDA	1999-03-30	1.6725391708182	1.6864576659984	1.5178892243718	1.5271682211586	1737600.0
47	NVDA	1999-03-31	1.5758829542892	1.6532079275124	1.5031974794594	1.6338766842066	3840000.0
48	NVDA	1999-04-01	1.6338766842066	1.6431556809934	1.5565517109834	1.585161951076	760800.0
49	NVDA	1999-04-05	1.5658307077702	1.6044931943818	1.5271682211586	1.5372204676776	2466000.0
50	NVDA	1999-04-06	1.5511389628578	1.5565517109834	1.4691744912412	1.498557981066	1742400.0
51	NVDA	1999-04-07	1.5078369778528	1.6338766842066	1.498557981066	1.6238244376876	2232000.0
52	NVDA	1999-04-08	1.6338766842066	1.7011494109108	1.6145454409008	1.6532079275124	3253200.0
53	NVDA	1999-04-09	1.6624869242992	1.6624869242992	1.6145454409008	1.6238244376876	1215600.0
54	NVDA	1999-04-12	1.6044931943818	1.6044931943818	1.5271682211586	1.5565517109834	832800.0
55	NVDA	1999-04-13	1.585161951076	1.585161951076	1.4691744912412	1.4931452329404	903600.0
